generation,genome,fitness
2,0.169593,1.19007
2,0.243006,1.14313
2,0.243006,1.14313
2,0.243006,1.14313
2,0.104087,0.659637
2,-0.462164,-1.05774
2,0.141861,1.03047
2,0.169593,1.19007
2,0.793331,0.296387
2,0.886175,0.0584319
2,0.243006,1.14313
2,0.336529,0.358791
2,0.0150439,-0.72979
2,0.141861,1.03047
2,0.248315,1.11575
2,0.104087,0.659637
2,0.257191,1.06387
2,0.939175,-0.208058
2,0.336529,0.358791
2,0.134319,0.970101
2,0.60022,-0.61402
2,-0.722867,-1.62244
2,0.336529,0.358791
2,0.352972,0.186019
2,-0.26901,-2.91184
2,0.243006,1.14313
2,0.336529,0.358791
2,0.206097,1.2487
2,0.169593,1.19007
2,0.134319,0.970101
2,0.793331,0.296387
2,0.257191,1.06387
2,0.34135,0.308253
2,0.248315,1.11575
2,0.243006,1.14313
2,0.243006,1.14313
2,0.793331,0.296387
2,0.793376,0.296394
2,0.740407,0.194462
2,0.141861,1.03047
2,0.243006,1.14313
2,0.243006,1.14313
2,0.385644,-0.148602
2,0.104087,0.659637
2,0.248315,1.11575
2,0.572296,-0.749537
2,0.352972,0.186019
2,0.243006,1.14313
3,0.134319,0.970101
3,0.243006,1.14313
3,0.243006,1.14313
3,0.524012,-0.865812
3,0.243006,1.14313
3,0.243006,1.14313
3,0.257191,1.06387
3,0.793331,0.296387
3,0.243006,1.14313
3,-0.331075,-2.30701
3,0.243006,1.14313
3,0.141861,1.03047
3,0.77109,0.275903
3,1.2195,0.798464
3,0.336529,0.358791
3,-0.584808,-0.973857
3,-0.0756122,-2.27217
3,0.886175,0.0584319
3,0.793331,0.296387
3,0.243006,1.14313
3,0.169593,1.19007
3,0.206097,1.2487
3,0.206097,1.2487
3,0.243006,1.14313
3,0.206097,1.2487
3,0.34135,0.308253
3,0.169593,1.19007
3,-0.0339725,-1.60297
3,0.243006,1.14313
3,0.141861,1.03047
3,0.104087,0.659637
3,0.793331,0.296387
3,0.206097,1.2487
3,0.169593,1.19007
3,0.134319,0.970101
3,0.336529,0.358791
3,0.169593,1.19007
3,0.248315,1.11575
3,0.169593,1.19007
3,0.243006,1.14313
3,0.336529,0.358791
3,0.243006,1.14313
3,-0.127304,-2.89146
3,0.169593,1.19007
3,0.243006,1.14313
3,1.12895,-0.140548
3,0.447348,-0.651463
3,0.243006,1.14313
3,0.243006,1.14313
3,0.243006,1.14313
4,0.169593,1.19007
4,0.206097,1.2487
4,0.243006,1.14313
4,0.243006,1.14313
4,-0.47164,-1.00705
4,0.243006,1.14313
4,-0.166935,-3.15129
4,0.243006,1.14313
4,0.134319,0.970101
4,-0.723855,-1.62562
4,0.169593,1.19007
4,0.0237207,-0.575462
4,0.303423,0.692093
4,0.169593,1.19007
4,0.169593,1.19007
4,0.169593,1.19007
4,-0.38254,-1.73743
4,0.243006,1.14313
4,0.169593,1.19007
4,0.243006,1.14313
4,0.336529,0.358791
4,0.169593,1.19007
4,0.206097,1.2487
4,0.206097,1.2487
4,0.169593,1.19007
4,0.169593,1.19007
4,0.243006,1.14313
4,0.39297,-0.219349
4,0.169593,1.19007
4,0.134319,0.970101
4,-0.538521,-0.867547
4,0.243006,1.14313
4,0.169593,1.19007
4,0.243006,1.14313
4,0.243006,1.14313
4,0.243006,1.14313
4,0.206097,1.2487
4,0.169593,1.19007
4,0.169593,1.19007
4,0.243006,1.14313
4,0.243006,1.14313
4,0.169593,1.19007
4,0.93942,-0.209284
4,-0.385208,-1.70911
4,0.134319,0.970101
4,0.243006,1.14313
4,0.243006,1.14313
4,0.243006,1.14313
4,0.243006,1.14313
4,0.257191,1.06387
5,0.243006,1.14313
5,0.398718,-0.273235
5,0.243006,1.14313
5,0.169593,1.19007
5,0.169593,1.19007
5,0.169593,1.19007
5,-0.457842,-1.08333
5,0.362603,0.0852023
5,0.243006,1.14313
5,0.169593,1.19007
5,-0.292643,-2.70636
5,0.0115419,-0.792493
5,0.206097,1.2487
5,0.243006,1.14313
5,0.169155,1.18833
5,0.249628,1.10855
5,0.206097,1.2487
5,-0.485677,-0.945988
5,0.206097,1.2487
5,0.243006,1.14313
5,0.243006,1.14313
5,0.281496,0.886957
5,0.135807,0.982569
5,0.607487,-0.572882
5,0.169593,1.19007
5,0.206097,1.2487
5,-0.676878,-1.4274
5,0.243006,1.14313
5,0.169593,1.19007
5,0.243006,1.14313
5,-0.350764,-2.08746
5,0.169593,1.19007
5,-0.161069,-3.12571
5,0.169593,1.19007
5,0.823679,0.271426
5,0.243006,1.14313
5,0.243006,1.14313
5,0.169593,1.19007
5,0.206097,1.2487
5,1.15393,0.0773117
5,0.169593,1.19007
5,0.169593,1.19007
5,0.206097,1.2487
